# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EXTL3	ENSG00000012232	ENST00000520679	processed_transcript	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
EXTL3	ENSG00000012232	ENST00000521473	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
EXTL3	ENSG00000012232	ENST00000521532	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EXTL3	ENSG00000012232	ENST00000522698	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EXTL3	ENSG00000012232	ENST00000523149	protein_coding	0	0	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
EXTL3	ENSG00000012232	ENST00000523271	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
EYA1	ENSG00000104313	ENST00000303824	protein_coding	0	3	0	12	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000340726	protein_coding	0	3	0	12	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000388740	protein_coding	0	3	0	12	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000388741	protein_coding	0	3	0	12	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000388742	protein_coding	0	3	0	12	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000388743	protein_coding	0	3	0	12	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000419131	protein_coding	0	3	0	12	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	3	0
EYA1	ENSG00000104313	ENST00000422295	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EYA1	ENSG00000104313	ENST00000465115	nonsense_mediated_decay	0	0	0	19	4	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0
EYA1	ENSG00000104313	ENST00000493349	nonsense_mediated_decay	0	0	0	12	1	0	1	0	0	0	4	0	3	0	2	0	0	0	0	0	0	0	1
EYA1	ENSG00000104313	ENST00000496494	retained_intron	0	0	0	15	0	0	0	0	0	0	1	0	10	0	4	0	0	0	0	0	0	0	0
FABP12	ENSG00000197416	ENST00000360464	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FABP12	ENSG00000197416	ENST00000519696	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FABP4	ENSG00000170323	ENST00000256104	protein_coding	0	0	0	9	3	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0
FABP4	ENSG00000170323	ENST00000518669	processed_transcript	0	0	0	9	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0
FABP4	ENSG00000170323	ENST00000521734	retained_intron	0	0	0	9	0	0	0	0	0	0	4	0	1	0	2	0	0	0	0	0	0	0	2
FABP4	ENSG00000170323	ENST00000522659	nonsense_mediated_decay	0	0	0	9	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0
FABP5	ENSG00000164687	ENST00000297258	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP5	ENSG00000164687	ENST00000396359	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP5	ENSG00000164687	ENST00000481695	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FABP5	ENSG00000164687	ENST00000486269	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FABP9	ENSG00000205186	ENST00000379071	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000361488	protein_coding	0	0	0	6	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000518427	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000519262	processed_transcript	0	0	0	6	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000520369	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000521413	processed_transcript	0	0	0	5	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000522059	processed_transcript	0	0	0	6	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0
FAM110B	ENSG00000169122	ENST00000523486	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
FAM135B	ENSG00000147724	ENST00000160713	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
FAM135B	ENSG00000147724	ENST00000276737	nonsense_mediated_decay	0	1	0	35	0	0	0	0	0	0	5	0	25	0	6	0	0	1	0	0	0	0	0
FAM135B	ENSG00000147724	ENST00000395295	retained_intron	0	0	0	17	0	0	0	0	0	0	6	0	2	0	1	0	0	0	0	0	0	0	8
FAM135B	ENSG00000147724	ENST00000395297	protein_coding	0	5	2	29	5	0	0	0	0	0	0	0	25	2	0	0	0	1	0	0	0	4	0
FAM135B	ENSG00000147724	ENST00000467365	nonsense_mediated_decay	0	0	0	17	0	0	0	0	0	0	6	0	3	0	2	0	0	0	0	0	0	0	6
FAM135B	ENSG00000147724	ENST00000482951	nonsense_mediated_decay	0	1	0	41	6	0	0	0	0	0	5	0	25	0	6	0	0	1	0	0	0	0	0
FAM135B	ENSG00000147724	ENST00000517849	processed_transcript	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
FAM135B	ENSG00000147724	ENST00000520380	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM150A	ENSG00000196711	ENST00000358543	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM150A	ENSG00000196711	ENST00000523939	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM160B2	ENSG00000158863	ENST00000289921	protein_coding	0	1	1	19	1	0	0	0	0	0	6	0	12	1	0	0	0	0	0	0	0	1	0
FAM160B2	ENSG00000158863	ENST00000427751	nonsense_mediated_decay	0	0	0	15	1	0	0	0	0	0	10	0	3	0	1	0	0	0	0	0	0	0	0
FAM160B2	ENSG00000158863	ENST00000450006	nonsense_mediated_decay	0	0	0	22	1	0	0	0	0	0	6	0	12	0	3	0	0	0	0	0	0	0	0
FAM160B2	ENSG00000158863	ENST00000462914	retained_intron	0	0	0	14	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	4
FAM160B2	ENSG00000158863	ENST00000464226	retained_intron	0	0	0	14	0	0	0	0	0	0	9	0	1	0	2	0	0	0	0	0	0	0	2
FAM160B2	ENSG00000158863	ENST00000474579	retained_intron	0	0	0	14	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	3
FAM160B2	ENSG00000158863	ENST00000477614	retained_intron	0	0	0	16	0	0	0	0	0	0	6	0	1	0	2	0	0	0	0	0	0	0	7
FAM160B2	ENSG00000158863	ENST00000488968	retained_intron	0	0	0	11	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0
FAM160B2	ENSG00000158863	ENST00000491733	retained_intron	0	0	0	14	0	0	0	0	0	0	7	0	1	0	2	0	0	0	0	0	0	0	4
FAM160B2	ENSG00000158863	ENST00000496599	retained_intron	0	0	0	20	0	0	0	0	0	0	6	0	2	0	3	0	0	0	0	0	0	0	9
FAM160B2	ENSG00000158863	ENST00000498344	retained_intron	0	0	0	11	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0
FAM160B2	ENSG00000158863	ENST00000523633	retained_intron	0	0	0	18	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	12
FAM167A	ENSG00000154319	ENST00000284486	protein_coding	0	0	2	14	3	0	1	0	0	0	2	0	4	2	0	0	0	0	0	0	0	0	4
FAM167A	ENSG00000154319	ENST00000527445	processed_transcript	0	0	0	16	0	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	0	0	0
FAM167A	ENSG00000154319	ENST00000528111	processed_transcript	0	0	0	9	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	4
FAM167A	ENSG00000154319	ENST00000528897	protein_coding	0	0	2	10	0	0	1	0	0	0	5	0	4	2	0	0	0	0	0	0	0	0	0
FAM167A	ENSG00000154319	ENST00000531564	processed_transcript	0	0	0	12	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0	0	0	0	5
FAM167A	ENSG00000154319	ENST00000531804	protein_coding	0	0	2	7	0	0	1	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0
FAM167A	ENSG00000154319	ENST00000534308	protein_coding	0	0	2	10	1	0	1	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0	2
FAM183CP	ENSG00000253279	ENST00000521245	lincRNA	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1
FAM183CP	ENSG00000253279	ENST00000524059	lincRNA	0	1	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000401979	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000517654	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000517672	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000517801	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
FAM49B	ENSG00000153310	ENST00000518167	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000518283	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000518879	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000519020	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000519070	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000519110	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000519142	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000519540	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000519824	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000520204	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000520254	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000521223	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000522250	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000522361	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000522702	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000522746	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000522941	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000523288	retained_intron	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000523509	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM49B	ENSG00000153310	ENST00000523993	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FAM66A	ENSG00000227888	ENST00000433621	processed_transcript	0	1	0	31	0	0	0	0	0	0	0	0	30	0	1	0	0	1	0	0	0	0	1
FAM66A	ENSG00000227888	ENST00000525829	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	1
FAM66A	ENSG00000227888	ENST00000602658	lincRNA	0	2	0	26	0	0	0	0	0	0	2	0	22	0	2	0	0	2	0	0	0	0	2
FAM66B	ENSG00000215374	ENST00000529456	lincRNA	0	0	0	19	0	0	0	0	0	0	6	0	1	0	3	0	0	0	0	0	0	0	9
FAM66B	ENSG00000215374	ENST00000606573	lincRNA	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9
FAM66D	ENSG00000255052	ENST00000434078	antisense	0	0	0	44	0	0	0	0	0	0	1	0	35	0	5	0	0	0	0	0	0	0	3
FAM66D	ENSG00000255052	ENST00000530099	antisense	0	0	0	20	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	3
FAM66E	ENSG00000225725	ENST00000529252	lincRNA	0	0	0	16	0	0	0	0	0	0	2	0	3	0	10	0	0	0	0	0	0	0	1
FAM66E	ENSG00000225725	ENST00000533615	lincRNA	0	0	0	6	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1
FAM83A	ENSG00000147689	ENST00000276699	protein_coding	0	2	1	3	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000318462	protein_coding	0	2	1	3	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000518448	protein_coding	0	2	1	3	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000520541	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000521468	processed_transcript	0	1	0	4	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	1
FAM83A	ENSG00000147689	ENST00000522648	protein_coding	0	2	1	3	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000523412	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000523819	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000536633	protein_coding	0	2	1	3	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
FAM83A	ENSG00000147689	ENST00000546351	protein_coding	0	2	1	3	0	1	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0
FAM83A-AS1	ENSG00000204949	ENST00000517519	antisense	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
FAM83A-AS1	ENSG00000204949	ENST00000520576	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FAM83A-AS1	ENSG00000204949	ENST00000523330	antisense	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM83H	ENSG00000180921	ENST00000388913	protein_coding	0	2	2	19	9	0	0	0	0	0	7	0	3	2	0	0	0	0	0	0	0	2	0
FAM83H	ENSG00000180921	ENST00000395103	nonsense_mediated_decay	0	0	0	26	3	0	0	0	0	0	7	0	6	0	6	0	0	0	0	0	0	0	4
FAM83H-AS1	ENSG00000203499	ENST00000533004	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM85A	ENSG00000255495	ENST00000528514	antisense	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAM85B	ENSG00000253893	ENST00000519726	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000321602	protein_coding	0	3	1	31	3	1	2	0	0	0	19	0	7	1	0	0	0	1	0	0	0	1	1
FAM86B1	ENSG00000186523	ENST00000340537	nonsense_mediated_decay	0	2	0	42	10	0	0	0	0	0	13	0	8	0	11	0	0	2	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000431227	nonsense_mediated_decay	0	2	0	42	10	0	0	0	0	0	13	0	8	0	11	0	0	2	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000448228	protein_coding	0	5	0	30	6	1	1	0	0	0	16	0	8	0	0	0	0	2	0	0	0	2	1
FAM86B1	ENSG00000186523	ENST00000524571	protein_coding	0	1	0	20	1	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	1	2
FAM86B1	ENSG00000186523	ENST00000524893	nonsense_mediated_decay	0	1	0	34	4	0	0	0	0	0	18	0	7	0	4	0	0	1	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000525822	retained_intron	0	0	0	21	0	0	0	0	0	0	14	0	4	0	1	0	0	0	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000526708	nonsense_mediated_decay	0	2	0	22	1	1	1	0	0	0	15	0	3	0	2	0	0	1	0	0	0	0	1
FAM86B1	ENSG00000186523	ENST00000527300	nonsense_mediated_decay	0	0	0	36	3	0	0	0	0	0	20	0	8	0	3	0	0	0	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000529060	nonsense_mediated_decay	0	1	0	21	1	0	0	0	0	0	15	0	3	0	1	0	0	1	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000529146	nonsense_mediated_decay	0	2	0	43	11	0	0	0	0	0	13	0	8	0	11	0	0	2	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000529617	retained_intron	0	0	0	21	0	0	0	0	0	0	15	0	2	0	3	0	0	0	0	0	0	0	1
FAM86B1	ENSG00000186523	ENST00000530385	nonsense_mediated_decay	0	2	0	39	5	1	1	0	0	0	19	0	7	0	7	0	0	1	0	0	0	0	1
FAM86B1	ENSG00000186523	ENST00000530508	retained_intron	0	0	0	29	0	0	0	0	0	0	19	0	4	0	4	0	0	0	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000531833	nonsense_mediated_decay	0	0	0	21	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	2
FAM86B1	ENSG00000186523	ENST00000533513	protein_coding	0	1	0	20	1	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	1	2
FAM86B1	ENSG00000186523	ENST00000533852	protein_coding	0	4	0	30	6	0	0	0	0	0	16	0	8	0	0	0	0	2	0	0	0	2	2
FAM86B1	ENSG00000186523	ENST00000534187	nonsense_mediated_decay	0	3	0	44	11	1	1	0	0	0	13	0	8	0	12	0	0	2	0	0	0	0	1
FAM86B1	ENSG00000186523	ENST00000534520	protein_coding	0	3	0	19	3	1	1	0	0	0	12	0	3	0	0	0	0	1	0	0	0	1	1
FAM86B1	ENSG00000186523	ENST00000534732	retained_intron	0	0	0	32	0	0	0	0	0	0	19	0	8	0	3	0	0	0	0	0	0	0	2
FAM86B2	ENSG00000145002	ENST00000262365	protein_coding	1	3	1	9	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	1	0	2	1
FAM86B2	ENSG00000145002	ENST00000309608	protein_coding	0	2	1	11	1	0	0	0	0	0	0	0	10	1	0	0	0	1	0	0	0	1	1
FAM86B2	ENSG00000145002	ENST00000351291	protein_coding	1	3	1	9	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	1	0	2	1
FAM86B2	ENSG00000145002	ENST00000393715	protein_coding	0	2	3	10	0	1	2	0	0	0	0	0	8	3	0	0	0	0	0	0	0	1	0
FAM86B2	ENSG00000145002	ENST00000527331	protein_coding	1	3	1	9	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0	1	0	2	1
FAM86B2	ENSG00000145002	ENST00000532480	protein_coding	0	1	1	12	0	0	0	0	0	0	5	0	6	1	0	0	0	0	0	0	0	1	1
FAM86B3P	ENSG00000173295	ENST00000310542	processed_transcript	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
FAM86B3P	ENSG00000173295	ENST00000522601	processed_transcript	1	0	0	29	0	0	0	0	0	0	0	0	23	0	7	1	0	0	0	0	0	0	0
FAM86B3P	ENSG00000173295	ENST00000523992	transcribed_unprocessed_pseudogene	1	1	0	28	0	0	0	0	0	0	9	0	14	0	7	1	0	1	0	0	0	0	0
FAM86B3P	ENSG00000173295	ENST00000587202	processed_transcript	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
FAM86B3P	ENSG00000173295	ENST00000588159	processed_transcript	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
FAM86B3P	ENSG00000173295	ENST00000588728	processed_transcript	1	0	0	29	0	0	0	0	0	0	1	0	26	0	3	1	0	0	0	0	0	0	0
FAM86B3P	ENSG00000173295	ENST00000590591	processed_transcript	0	1	0	27	0	0	0	0	0	0	1	0	6	0	3	0	0	1	0	0	0	0	18
FAM86B3P	ENSG00000173295	ENST00000591069	processed_transcript	0	0	0	28	0	0	0	0	0	0	0	0	14	0	3	0	0	0	0	0	0	0	11
FAM90A10P	ENSG00000254597	ENST00000530206	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM90A11P	ENSG00000233115	ENST00000518378	unprocessed_pseudogene	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A12P	ENSG00000254229	ENST00000519497	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FAM90A16P	ENSG00000229477	ENST00000526662	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A18P	ENSG00000231656	ENST00000451412	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A18P	ENSG00000231656	ENST00000452529	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A20P	ENSG00000233295	ENST00000528221	unprocessed_pseudogene	0	0	0	9	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	2
FAM90A21P	ENSG00000234749	ENST00000413161	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM90A21P	ENSG00000234749	ENST00000510875	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM90A21P	ENSG00000234749	ENST00000535455	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM90A24P	ENSG00000215354	ENST00000439746	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FAM90A24P	ENSG00000215354	ENST00000520792	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FAM90A2P	ENSG00000205879	ENST00000511144	unprocessed_pseudogene	0	0	0	22	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	16
FAM90A5P	ENSG00000215373	ENST00000400158	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FAM90A5P	ENSG00000215373	ENST00000528738	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A8P	ENSG00000224710	ENST00000528334	unprocessed_pseudogene	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FAM91A1	ENSG00000176853	ENST00000334705	protein_coding	0	0	1	6	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0
FAM91A1	ENSG00000176853	ENST00000517912	nonsense_mediated_decay	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
FAM91A1	ENSG00000176853	ENST00000518333	retained_intron	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
FAM91A1	ENSG00000176853	ENST00000518976	nonsense_mediated_decay	0	0	0	4	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
FAM91A1	ENSG00000176853	ENST00000519721	nonsense_mediated_decay	0	0	0	9	2	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0
FAM91A1	ENSG00000176853	ENST00000520246	retained_intron	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
FAM91A1	ENSG00000176853	ENST00000521166	protein_coding	0	0	0	7	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0
FAM91A1	ENSG00000176853	ENST00000521704	retained_intron	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
FAM92A1	ENSG00000188343	ENST00000359421	nonsense_mediated_decay	0	0	0	6	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0
